id_dataset,code_secteur,code_site,nom_site,x_l93,y_l93,date_visite,observateurs,condition_prospection,nom_taxon,nom_complet_taxon,techn_observation,statut_observation,nb_ep_tot,nb_ep_w,nb_ep_dnf,nb_ep_df,annee,mois,jour,statut_presence,date_annee,annee_perm,annee_perm_index
85,J25,J25-022,Traon Dour,207501.39052856347,6862645.100988084,2016-05-20T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2016,5,20,0,141,2023,12
85,J25,J25-010,"Lieu-dit Traon Stong, Pontplencoat",200368.6236151961,6861775.022808081,2016-05-20T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2016,5,20,0,141,2023,12
85,J25,J25-001,Le dourduff,196647.99003448174,6857784.453667775,2014-04-22T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2014,4,22,0,112,2016,5
85,J25,J25-006,Lieu-dit Kerbabu,197551.96545885113,6863237.103633223,2016-05-20T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2016,5,20,0,141,2016,5
85,J25,J25-005,Impasse de Kerbriant,196810.47618797416,6863851.751668579,2017-05-30T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2017,5,30,0,150,2023,12
85,J25,J25-002,Le corniou rau,198562.95961799152,6860250.344900633,2014-04-22T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2014,4,22,0,112,2012,1
85,J25,J25-006,Lieu-dit Kerbabu,197551.96545885113,6863237.103633223,2017-05-30T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2017,5,30,0,150,2018,7
85,J25,J25-032,quelouarn-ruisseau,207969.99867292296,6853926.753725007,2014-04-22T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2014,4,22,0,112,2017,6
85,J25,J25-002,Le corniou rau,198562.95961799152,6860250.344900633,2016-05-20T00:00:00Z,BTS GPN Suscinio,Mauvaises,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2016,5,20,0,141,2011,0
85,J25,J25-033,porscoadalen-ruisseau,206960.27656523214,6853242.860413759,2014-04-22T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,Empreintes,Présent,0,0,0,0,2014,4,22,0,112,2023,12
85,J25,J25-036,coat sao-ruisseau,205887.83898058865,6853526.549500709,2018-05-29T00:00:00Z,BTS GPN Suscinio,Moyennes,"Lutra lutra (Linnaeus, 1758)",Lutra lutra,FÃ¨ces/Guano/Epreintes,Absent,0,0,0,0,2018,5,29,0,149,2017,6
