code_site	Itineraire	X	Y	commune	cours_eau	date_visite	Annee	Mois	Jour	observateurs	statut_observation	description	observation	bilan_choix_site	nombre_epreinte	nb_ep_tot	nb_ep_w	nb_ep_dnf	nb_ep_df
109	4	48.61617	 -3.53018	Lanvellec	Roscoat (affluent)	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
110	4	48.61152	 -3.51675	Lanvellec	Roscoat (affluent)	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
113	1	48.56544	-3.563496	Plounérin	Yar	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
114	1	48.564550	  -3.561585	Plounérin	Yar	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
115	2	48.5952	 -3.59922	Plufur	Yar	NA	2020	10	NA	NA	Peut-être	NA	Marquage urinaire	Favorable	NA	Peut-être	NA	NA	NA
116	3	48.59376	-3.54209	Lanvellec	Yar (Dour Elego)	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
117	3	48.65818	 -3.55925	Tréduder	Roscoat	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
118	4	48.62591	 -3.53416	Lanvellec	Roscoat (affluent)	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
119	2	48.625,	 -3.567	Plufur	Yar (Dour Elego)	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
120	3	 48.60933	 -3.5501	Lanvellec	Yar (Dour Elego)	NA	2020	10	NA	NA	Peut-être	NA	Marquage urinaire	Favorable	NA	Peut-être	NA	NA	NA
121	4	48.4606	-3.527	Lanvellec	Roscoat (affluent)	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
122	3	48.64888	-3.55396	Plouzelmabre	Roscoat	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
123	4	48.685150	 -3.567602	St Michel en Grève	Kerdu	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
124	2	48.628623	  -3.583876	Plufur	Yar	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
1	1	48.585217	 -3.573359	Plounérin	Yar	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	1	Fraiche	NA	Favorable	NA	1	1	0	0
2	1	48.62083	 -3.590561	Plufur	Yar	02/03/2021	2021	3	2	Nicolas Boudereaux / David Menanteau	1	Sèche et disloquée	NA	Favorable	NA	1	0	0	1
3	4	48.61123	 -3.51294	Plouaret	Roscoat	23/03/2021	2021	3	23	Nicolas Boudereaux	1	NA	NA	Favorable	NA	1	NA	NA	NA
5	4	48.62734	 -3.51969	Plouaret	Roscoat	23/03/2021	2021	3	23	Nicolas Boudereaux	1	Sèche et disloquée	NA	Très favorable	NA	1	0	0	1
